Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
42,2018-04-15 05:12:33,743844.217048611,4.23305,117.8502,5227.729
43,2018-04-15 15:06:02,743844.629189815,5.715304,176.7706,7908.644
44,2018-04-15 22:01:43,743844.917858796,6.969707,184.8184,8413.21
45,2018-04-16 15:03:02,743846.627106482,4.9231,122.3415,5435.06
46,2018-04-17 15:03:16,743848.627268519,5.0609,122.3271,5439.212
47,2018-04-17 21:04:08,743848.87787037,5.753161,189.9844,8384.283
48,2018-04-18 15:03:03,743850.627118056,4.427935,158.9049,7178.216
49,2018-04-18 22:05:25,743850.920428241,5.649803,194.5681,8840.531
50,2018-04-19 02:15:57,743852.094409722,6.57574,149.2376,6733.48
51,2018-04-19 06:07:15,743852.255034722,7.2353,190.0196,8549.816
52,2018-04-19 12:06:26,743852.504467593,6.82052,167.6159,7459.288
53,2018-04-19 14:16:53,743852.59505787,5.77162,113.113,4993.458
54,2018-04-19 18:05:49,743852.754039352,6.322271,199.3081,8884.326
55,2018-04-19 23:59:38,743852.99974537,6.41958,208.2521,9523.639
56,2018-04-20 06:06:48,743854.254722222,5.0906,172.4822,7754.8
57,2018-04-20 11:01:56,743854.459675926,4.86692,176.7749,7885.248
58,2018-04-20 22:34:17,743854.940474537,4.426306,158.3824,7197.411
