Pressure [dbar],StartTime,scan,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag
49.298,2019-10-08 13:20:29,3211.0,133.76,-106.80218,16.74924,49.0,23.8645,23.8123,51227.0,5.133683,0.3078,0.0828,97.9499,4.2602,0.0,2.4563,2.447,0.0818,0.1148,4.5566,0.0,1.653,0.0,2.4503,2.4323,34.4831,34.6066,23.293,23.4018,226.304,236.062,104.575,109.06299999999999,False
50.303999999999995,2019-10-08 13:20:29,3259.0,135.734,-106.80218,16.74924,50.0,23.4761,23.4294,50794.0,5.088326,0.3438,0.0837,97.9295,3.9629,0.0,2.4531,2.439,0.0854,0.1148,4.5557,0.0,1.6222,0.0,2.4462,2.4343,34.4559,34.5602,23.3861,23.4787,227.085,238.63299999999998,104.215,109.491,False
51.31100000000001,2019-10-08 13:20:29,3360.0,139.972,-106.80218,16.74924,51.0,23.0909,23.1542,50378.0,5.05771,0.4056,0.0855,97.8861,3.7366,0.0,2.4449,2.4333,0.0916,0.1148,4.5536,0.0,1.5976,0.0,2.429,2.4233,34.4382,34.5412,23.4844,23.5442,226.44099999999997,237.65599999999998,103.212,108.508,False
52.317,2019-10-08 13:20:29,3395.0,141.423,-106.80218,16.74924,52.0,22.8715,22.8287,50132.0,5.021628,0.4323,0.0844,97.9138,3.5248,0.0,2.4386,2.431,0.0942,0.1148,4.5549,0.0,1.5728,0.0,2.4224,2.4166,34.42,34.5191,23.5337,23.6211,226.06400000000002,237.92,102.635,107.999,False
53.323,2019-10-08 13:20:29,3421.0,142.509,-106.80218,16.74924,53.0,22.8401,22.7978,50101.0,5.017789,0.4372,0.0845,97.9098,3.2861,0.0,2.4319,2.425,0.0947,0.1148,4.5548,0.0,1.5431,0.0,2.4135,2.4084,34.4206,34.5134,23.5431,23.6257,225.6,237.118,102.368,107.573,False
54.32899999999999,2019-10-08 13:20:29,3448.0,143.627,-106.80218,16.74924,54.0,22.6604,22.6153,49902.0,4.998715,0.4321,0.0863,97.8651,3.0474,0.0,2.4286,2.4231,0.0942,0.1148,4.5527,0.0,1.5113,0.0,2.413,2.404,34.408,34.5094,23.585,23.6747,227.822,238.325,103.04299999999999,107.771,False
55.336000000000006,2019-10-08 13:20:29,3549.0,147.83700000000002,-106.80218,16.749229999999997,55.0,22.6346,22.6362,49878.0,4.999115,0.4976,0.0856,97.8819,2.8044,0.0,2.4169,2.4087,0.1007,0.1148,4.5535,0.0,1.4766,0.0,2.4113,2.4017,34.4091,34.4957,23.5931,23.6583,226.06799999999998,237.28,102.20200000000001,107.32799999999999,False
56.342,2019-10-08 13:20:29,3636.0,151.463,-106.80218,16.749229999999997,56.0,22.3247,22.3191,49539.0,4.969926999999999,0.4854,0.0855,97.8844,2.6272,0.0,2.4204,2.4069,0.0995,0.1147,4.5536,0.0,1.4492,0.0,2.3682,2.3665,34.3897,34.5194,23.6661,23.7661,219.78099999999998,232.657,98.807,104.664,False
57.348,2019-10-08 13:20:29,3655.0,152.26,-106.80218,16.74924,57.0,22.0765,22.0363,49265.0,4.934756,0.4783,0.0847,97.905,2.4595,0.0,2.4104,2.4014,0.0988,0.1148,4.5545,0.0,1.4216,0.0,2.3554,2.355,34.3721,34.4687,23.7225,23.8072,220.585,232.859,98.72399999999999,104.20100000000001,False
58.354,2019-10-08 13:20:29,3675.0,153.065,-106.80218,16.74924,58.0,21.9275,21.8742,49098.0,4.919879,0.4931,0.0862,97.8677,2.2727,0.0,2.3991,2.3894,0.1003,0.1148,4.5528,0.0,1.3886,0.0,2.3494,2.3468,34.3591,34.4806,23.7543,23.8614,222.476,232.993,99.29799999999999,103.96799999999999,False
